path,package,loc,function_count,type_count,sha256,rust_module
mod/fileservers/servers/samba/helpers.go,samba,152,8,0,bc01b38e217a722ee2d826e644e50a041b030fc699dc2c11ae481b51718150bc,src/ported/mod_fileservers_servers_samba_helpers_115.rs
mod/fileservers/servers/samba/required.go,samba,83,4,0,176149d8d609ed545b1847c3579a35c203ca90d54d1e0b8357a0349edf53f819,src/ported/mod_fileservers_servers_samba_required_116.rs
mod/fileservers/servers/samba/samba.go,samba,417,12,2,386fa0b4974f54f4eecfadc1717185d5a9d30af3ea99268046b4bb6599aa3b81,src/ported/mod_fileservers_servers_samba_samba_117.rs
mod/fileservers/servers/samba/sambashare.go,samba,51,3,0,2c56ce5b7c752b9c2fb94240510f5f5395f3844fb6b149c7d35025fc7500f09e,src/ported/mod_fileservers_servers_samba_sambashare_118.rs
mod/fileservers/servers/samba/smbd.go,samba,60,2,0,1e4a95d03af0099b7905e3672234a1f12789627041e63c2b74e5bb992a600ad7,src/ported/mod_fileservers_servers_samba_smbd_119.rs
mod/fileservers/servers/samba/smbuser.go,samba,156,6,1,419d0f17d080d4614fa675a803561ed9852f81ca84bdc78ae74266c307c6124e,src/ported/mod_fileservers_servers_samba_smbuser_120.rs
mod/fileservers/servers/sftpserv/sftpserv.go,sftpserv,223,10,2,08bc560ba50cbf1e68a99fb8c57773f2b24df1dd96200a26c58857adcc277284,src/ported/mod_fileservers_servers_sftpserv_sftpserv_121.rs
mod/fileservers/servers/tftpserv/handler.go,tftpserv,95,5,0,ebccb2e2a8a3a1895ace50c09b4bebeb4e63be4989ae4b2bc2e6b81d43dcab50,src/ported/mod_fileservers_servers_tftpserv_handler_122.rs
mod/fileservers/servers/tftpserv/tftpserv.go,tftpserv,150,7,3,9b12815bbbf4a958818d4498fba41c3fd74e11be2e3678e283918a80192111a0,src/ported/mod_fileservers_servers_tftpserv_tftpserv_123.rs
mod/fileservers/servers/webdavserv/webdavserv.go,webdavserv,120,9,2,7f4926bbe17b1eae782997249cc482b80f0bc2207d4cf22e6d5818f4091970f2,src/ported/mod_fileservers_servers_webdavserv_webdavserv_124.rs
mod/fileservers/typedef.go,fileservers,30,0,2,eb7a533780604931c57b815f381f782e3d50ca4286581cd2fd00fdd18d4a4849,src/ported/mod_fileservers_typedef_125.rs
mod/filesystem/abstractions/emptyfs/emptyfs.go,emptyfs,124,29,1,b2f3b3b52a04101dcb9cec52a97c93eb2af2e2de093e4ebb5cef14f1077a0607,src/ported/mod_filesystem_abstractions_emptyfs_emptyfs_126.rs
mod/filesystem/abstractions/ftpfs/ftpFileWrapper.go,ftpfs,75,12,3,3b1f03051357e5b51c33dbba7162138c2c0ee9c748f47dc2729b16ad8fed12c3,src/ported/mod_filesystem_abstractions_ftpfs_ftpfilewrapper_127.rs
mod/filesystem/abstractions/ftpfs/ftpfs.go,ftpfs,400,32,1,61ea29518347bac6e4d0f21c161feecc9a569ba921ceca855eace26d3b261ecf,src/ported/mod_filesystem_abstractions_ftpfs_ftpfs_128.rs
